date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:23	959/959	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Mon,%2010%20Aug%202026%2007:15:22%20GMT	https://ristechy.com/robots.txt		(from )
10:15:23	165985/165985	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202026%2007:15:23%20GMT	https://ristechy.com/	ristechy.com/index.html	(from )
10:15:24	56125/56125	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Aug%202026%2007:15:24%20GMT	https://ristechy.com/i	ristechy.com/i	(from https://ristechy.com/)
10:15:25	20752/20752	---M--	200	added ('OK')	font/woff2	etag:%225110-69cf87da-1a81215;;;%22	https://ristechy.com/wp-content/themes/jannah/assets/fonts/tielabs-fonticon/tielabs-fonticon.woff2?ciufdj1	ristechy.com/wp-content/themes/jannah/assets/fonts/tielabs-fonticon/tielabs-fonticon519d.woff2	(from https://ristechy.com/)
10:15:26	22427/22427	---M--	200	added ('OK')	image/jpeg	etag:%22579b-697c8644-1aa2c77;;;%22	https://ristechy.com/wp-content/uploads/2026/01/UFL-Soccer-Game-Apk-390x220.jpg	ristechy.com/wp-content/uploads/2026/01/UFL-Soccer-Game-Apk-390x220.jpg	(from https://ristechy.com/)
10:15:27	56125/56125	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Aug%202026%2007:15:25%20GMT	https://ristechy.com/Firefox/	ristechy.com/Firefox/index.html	(from https://ristechy.com/)
10:15:28	12947/12947	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e5e799fac682bc15fec0cf76add0ed6b%22	https://ristechy.com/feed	ristechy.com/feed	(from https://ristechy.com/)
10:15:29	9515/9515	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e5e799fac682bc15fec0cf76add0ed6b%22	https://ristechy.com/comments/feed	ristechy.com/comments/feed	(from https://ristechy.com/)
10:15:29	2145/2145	---M-Z	200	added ('OK')	application/json	date:Mon,%2010%20Aug%202026%2007:15:29%20GMT	https://ristechy.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fristechy.com%2F	ristechy.com/wp-json/oembed/1.0/embed7d47.json	(from https://ristechy.com/)
10:15:30	2296/2296	---M-Z	200	added ('OK')	text/xml	date:Mon,%2010%20Aug%202026%2007:15:30%20GMT	https://ristechy.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fristechy.com%2F&format=xml	ristechy.com/wp-json/oembed/1.0/embed1e27	(from https://ristechy.com/)
10:15:31	3644/3644	---MCZ	200	added ('OK')	text/css	etag:W/%22e3c-6a7802f6-1ac226d;br%22	https://ristechy.com/wp-content/cache/min/1/wp-content/plugins/wm-video-playlists/assets/css/style.css?ver=1786249974	ristechy.com/wp-content/cache/min/1/wp-content/plugins/wm-video-playlists/assets/css/style6333.css	(from https://ristechy.com/)
10:15:32	40708/40708	---MCZ	200	added ('OK')	text/css	etag:W/%229f04-69cf87d8-1a812d1;br%22	https://ristechy.com/wp-content/themes/jannah/assets/css/base.min.css?ver=7.6.5	ristechy.com/wp-content/themes/jannah/assets/css/base.min0e5f.css	(from https://ristechy.com/)
